Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
*: Opal 520: Opal 690,0.1569,0.0004,0.0016,0.0291,2700.1418
*: Opal 520: Opal 690,0.2463,0.0005,0.003,0.038,2842.9387
*: Opal 520: Opal 690,0.2258,0.0007,0.0156,0.0404,2631.6062
*: Opal 520: Opal 690,0.3858,0.0059,0.0046,0.0935,2641.0886
*: Opal 520,0.2686,0.0004,0.0022,0.0194,2838.1582
*: Opal 520: Opal 690,0.2645,0.0007,0.0022,0.0327,2719.9233
*: Opal 520: Opal 690,0.2907,0.0023,0.0019,0.0278,2722.9224
Opal 620: Opal 520: *,0.7165,0.0001,0.1361,0.0062,2616.7891
Opal 620: Opal 520: *,0.7034,0.0002,0.0418,0.0148,2799.7168
*: Opal 520: Opal 690: Opal 570,0.2292,0.0062,0.0024,0.0359,2742.3152
*: Opal 520: Opal 570,0.1563,0.012,0.0034,0.0213,2700.6406
*: Opal 520: Opal 690,0.4922,0.0025,0.0063,0.0882,2765.8547
*: Opal 520: Opal 690: Opal 570,0.1936,0.0105,0.0029,0.0404,2777.1194
*: Opal 520: Opal 690: Opal 570,0.5007,0.0169,0.0028,0.0842,2724.2183
*: Opal 520: Opal 690: Opal 570,0.2117,0.0387,0.0035,0.0276,2731.916
*: Opal 520: Opal 690,0.3231,0.0047,0.0036,0.074,2764.0247
*: Opal 520: Opal 690,0.3329,0.0032,0.0022,0.0527,2718.3254
*: Opal 520: Opal 690,0.4294,0.0059,0.0096,0.0809,2708.8774
*: Opal 520: Opal 690: Opal 570,0.4832,0.0074,0.0021,0.0538,2729.7468
Opal 620: Opal 520: *,0.3535,0.0001,0.0669,0.008,2644.2939
Opal 620: Opal 520: *,0.1569,0.0002,0.0581,0.0087,2596.0017
Opal 620: Opal 520: *,0.8438,0.0003,0.2191,0.0094,2593.1055
*: Opal 520,0.1581,0.0006,0.0022,0.0209,2562.9978
*: Opal 520: Opal 690,0.1732,0.0015,0.0162,0.0258,2528.1956
*: Opal 520: Opal 690,0.3978,0.0031,0.0022,0.0683,2536.2031
*: Opal 520: Opal 690: Opal 570,0.3135,0.0087,0.0026,0.0451,2592.2322
*: Opal 520: Opal 690: Opal 570,0.2223,0.0109,0.0037,0.0311,2433.8333
*: Opal 520: Opal 570,0.2193,0.0068,0.0061,0.015,2437.7852
*: Opal 520,0.164,0.0034,0.002,0.021,2422.4011
*: Opal 520: Opal 570,0.1567,0.0104,0.0048,0.0061,2512.48
*: Opal 520: Opal 690,0.1881,0.0025,0.0023,0.0514,2574.4451
*: Opal 520,0.3278,0,0.015,0.0068,2497.2988
*: Opal 520,1.1059,0,0.0524,0.0045,2504.6528
Opal 620: Opal 520: *,1.4859,0,0.0841,0.0106,2517.9675
Opal 620: Opal 520: *,1.7101,0,0.124,0.0051,2400.3879
Opal 620: Opal 520: Opal 690: Opal 570,0.5276,0.0233,0.0222,0.0512,2340.5916
*: Opal 520,0.17,0,0.0087,0.006,2381.0813
*: Opal 520,1.3414,0.0027,0.0094,0.0051,2373.7793
Opal 620: Opal 520: *,0.6999,0.0001,0.0261,0.0076,2486.3157
*: Opal 520: Opal 570,0.2006,0.0099,0.0015,0.0065,2365.8713
Opal 620: Opal 520: *,1.5033,0,0.067,0.0076,2377.7148
*: Opal 520,0.2342,0.0004,0.0018,0.0223,2335.4675
Opal 620: Opal 520: *,2.8699,0.0001,0.2679,0.0156,2315.9106
*: Opal 520,0.2876,0.0018,0.0015,0.0193,2268.592
*: Opal 520,1.0277,0,0.0316,0.008,2318.5298
*: Opal 520: Opal 690,0.2865,0.002,0.0038,0.058,3277.021
*: Opal 520: Opal 690,0.4165,0.0057,0.0034,0.0409,3289.9377
*: Opal 520: Opal 570,0.2723,0.0184,0.0037,0.0185,783.23
*: Opal 520: Opal 570,0.227,0.0356,0.0267,0.0119,585.4988
*: Opal 520: Opal 570,0.3676,0.0068,0.0079,0.0019,583.3061
*: Opal 520,0.1689,0.0052,0.0039,0.0071,525.316
*: Opal 520,0.1734,0.0016,0.0068,0.0116,513.0789
*: Opal 520: Opal 570,0.2112,0.0076,0.0026,0.0118,515.1627
*: Opal 520: Opal 570,0.2243,0.0125,0.0041,0.0136,553.432
*: Opal 520: Opal 570,0.1716,0.0151,0.0049,0.0113,559.0493
*: Opal 520,0.1704,0.0052,0.0037,0.007,515.7926
*: Opal 520: Opal 570,0.2185,0.0083,0.0026,0.0159,605.4476
*: Opal 520: Opal 570,0.1603,0.0198,0.0042,0.0164,569.9846
*: Opal 520: Opal 570,0.2828,0.0337,0.0042,0.0183,703.8445
Opal 620: Opal 520: *,0.1775,0.001,0.0942,0.0067,642.111
*: Opal 520,0.1665,0.0015,0.0031,0.0165,459.9349
*: Opal 520: Opal 570,0.1544,0.0064,0.0035,0.0132,537.2719
*: Opal 520: Opal 570,0.2195,0.0185,0.0055,0.0147,457.1477
Opal 620: Opal 520: *,0.2464,0.0006,0.0602,0.0044,664.7878
Opal 620: Opal 520: *,0.1937,0.0011,0.1944,0.0093,537.8105
*: Opal 520: Opal 570,0.2348,0.0149,0.0026,0.013,703.5206
*: Opal 520,0.2202,0.0004,0.0095,0.0084,444.2929
*: Opal 520: Opal 690: Opal 570,0.1798,0.0105,0.0036,0.0234,586.3648
*: Opal 520: Opal 570,0.3143,0.0153,0.004,0.0165,600.4859
*: Opal 520: Opal 570,0.1832,0.0218,0.0031,0.0137,546.7175
*: Opal 520,0.1865,0.004,0.0021,0.0109,705.9214
Opal 620: Opal 520: *,0.2271,0.0011,0.0532,0.0131,393.921
*: Opal 520: Opal 570,0.1533,0.0074,0.0042,0.0159,552.5584
Opal 620: Opal 520: *,0.7855,0.0003,0.0305,0.0096,423.8504
*: Opal 520: Opal 570,0.2653,0.0263,0.0047,0.0128,637.1778
*: Opal 520,0.1965,0.0002,0.0234,0.0055,435.753
Opal 620: Opal 520: *,0.6357,0.0032,0.0322,0.0049,587.9199
Opal 620: Opal 520: Opal 690: Opal 570,0.2425,0.0134,0.054,0.0436,487.3922
*: Opal 520,0.1834,0.0011,0.0077,0.0171,405.2491
*: Opal 520: Opal 570,0.2182,0.0113,0.0043,0.0147,605.9932
*: Opal 520: Opal 570,0.1734,0.0281,0.0089,0.0222,394.3992
*: Opal 520: Opal 690,0.1776,0.006,0.0025,0.0252,664.804
*: Opal 520: Opal 570,0.1998,0.0172,0.0062,0.0162,388.9988
Opal 620: Opal 520: *,0.2285,0.001,0.1178,0.0156,403.3413
*: Opal 520: Opal 690: Opal 570,0.2845,0.0107,0.009,0.0254,395.1735
